timestamp,strategy,market_id,token_id,side,price,size,usd_value,order_type,mode,order_id,status,reason
1774302848.453,copy_trading,0x761a00967d947de3726bc648cf8820b5e4a84d88ec2ba748ee56e5106716db91,52986309821017338374879103177621885193540074515815931864262488594014752858784,BUY,0.330000,9.090909,3.0000,GTC,micro,0x5640af366493076c78bdd6ddd970f88de60a19bcc339477c2b1f622a65a5a837,live,Mirror Discovered:0x2a2c53bd… | target_price=0.330 | current_ask=0.330 | drift=0.0000
1774302849.449,trade_manager,0x3a218243afbb1d96c615b430d7c4f9e7907e4ed41cd3d1f738ac635d2b5c333a,114548724157706334260252718912907134335198837984066317820317668355835988592685,SELL,0.525000,5.714286,3.0000,GTC,micro,0x3c10c11065577639b7f56b00006e5d1f1b3983fb9d71c225506a2efb3ab7bf1b,matched,Partial scale-out: pnl=14.13% >= 10% | selling 50% (3.3 of 6.5 shares)
1774302852.594,copy_trading,0x3a218243afbb1d96c615b430d7c4f9e7907e4ed41cd3d1f738ac635d2b5c333a,23506578023355411041243894417929730258183568005708382134166886599950653453180,BUY,0.470000,6.382979,3.0000,GTC,micro,0x4e3ea12f6438b2445fa73d2f34a67192a4b4dcc67992266c4dd6011284245538,live,Mirror Discovered:0x37c1874a… | target_price=0.470 | current_ask=0.470 | drift=0.0000
1774302853.529,copy_trading,0x7729ccc88328e641b73c691a03ff7cd7473b8a604970169ac28209ead1c05551,52108730411865273335222607486694238384756715371981320303416005642701245751427,BUY,0.390000,7.692308,3.0000,GTC,micro,0x75960b4901a18305867f3f00fe36bc29b27e03afbe2a61a1b97a48a0a77404d1,live,Mirror Discovered:0x204f72f3… | target_price=0.390 | current_ask=0.390 | drift=0.0000
1774302854.501,copy_trading,0x55a2edb887ea360e837e2db5fdb8026134554bb8a1f71c24ece3571e5b12ca46,46776664025559633006293713109038826044175456688140104063711811608932816403711,BUY,0.430000,6.976744,3.0000,GTC,micro,0x9c82eec6835b5f849ba491c47efb73bbfac2d99536d0a7ac76e25c83670277e7,live,Mirror Discovered:0x204f72f3… | target_price=0.430 | current_ask=0.430 | drift=0.0000
1774302980.363,copy_trading,0x440a4f677fc34d2aa8154607b0fae114b9516ad540ef69f7fb84452fe68828b4,34937165519866669715076927805788051203389693918515702745210438861610769432764,BUY,0.550000,5.454545,3.0000,GTC,micro,0xe856546fccf6999b3b29c0c1bfa8458f8f839cb286c5630974adafbcdaf5f1eb,live,Mirror Discovered:0x37c1874a… | target_price=0.550 | current_ask=0.550 | drift=0.0000
1774302981.373,copy_trading,0x96f0f7a2f19a5f1a65bd07ca31404c885c19cd7fc43fe0b148ff9363b50abaa9,101471184273485970005263917808692359120239313008757266305080530582864722546823,BUY,0.620000,5.000000,3.1000,GTC,micro,0xb26f75f754c5a00924044f68654bdbf74eebbd1fb400e106cdb48ccdeeb69eda,live,Mirror Discovered:0x37c1874a… | target_price=0.620 | current_ask=0.620 | drift=0.0000
1774302982.322,copy_trading,0xe7c6aa6eef552cc45cdc336133a826e159e3df0f6ab8dfcd3f9e8f8e5af1708a,60117246405047204941026738352472718567828122587534461016953742057213134311974,BUY,0.440000,6.818182,3.0000,GTC,micro,0x607552922394edd5de9afaba395aac41331a5a797a41bb1b2ebc5cc645fe1295,live,Mirror Discovered:0x204f72f3… | target_price=0.440 | current_ask=0.440 | drift=0.0000
1774303015.264,copy_trading,0x9db1b6cd4e240fc2d54b65f9046fa4e68919cb339dcfcf6372620df942d93616,46875580546363180531963122525208638900558143379967182849493453420591862135131,BUY,0.550000,5.454545,3.0000,GTC,micro,0xbfe9ad6db6067ddd291d9741422e5374e6a32d5a79ff15d235b784b7310fb650,live,Mirror Discovered:0x204f72f3… | target_price=0.550 | current_ask=0.550 | drift=0.0000
1774303116.063,copy_trading,0x7a996608a0a764e6fa742b81f873e8fa829c991ad78914d8e56e3600cfea8485,98871565662267293005304051894970575712578870946508404089673189820070004889566,BUY,0.760000,5.000000,3.8000,GTC,micro,0x6ee1ebed88d2965b98c49007cc7c83631a9844307581a8c4c6a5427a82c100bb,live,Mirror Discovered:0x204f72f3… | target_price=0.760 | current_ask=0.760 | drift=0.0000
